mixed_run_id,mixed_adapter_label,mixed_source_recipe,comparator_run_id,comparator_adapter_label,comparator_source_recipe,comparator_family,metric,direction,mixed_value,comparator_value,mixed_minus_comparator,mixed_delta_vs_r004,comparator_delta_vs_r004,mixed_minus_comparator_delta
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,functionchat_bench.argument_accuracy,higher_is_better,0.83,0.84,-0.010000000000000009,0.0,0.010000000000000009,-0.010000000000000009
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,functionchat_bench.argument_accuracy,higher_is_better,0.83,0.81,0.019999999999999907,0.0,-0.019999999999999907,0.019999999999999907
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,functionchat_bench.argument_accuracy,higher_is_better,0.83,0.84,-0.010000000000000009,0.0,0.010000000000000009,-0.010000000000000009
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,functionchat_bench.argument_accuracy,higher_is_better,0.83,0.81,0.019999999999999907,0.0,-0.019999999999999907,0.019999999999999907
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,functionchat_bench.tool_hallucination_rate,lower_is_better,0.0,0.0,0.0,0.0,0.0,0.0
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,functionchat_bench.tool_hallucination_rate,lower_is_better,0.0,0.0,0.0,0.0,0.0,0.0
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,functionchat_bench.tool_hallucination_rate,lower_is_better,0.0,0.0,0.0,0.0,0.0,0.0
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,functionchat_bench.tool_hallucination_rate,lower_is_better,0.0,0.0,0.0,0.0,0.0,0.0
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,ifeval_style.prompt_level_strict_accuracy,higher_is_better,0.5208333333333334,0.5729166666666666,-0.05208333333333326,-0.11458333333333326,-0.0625,-0.05208333333333326
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,ifeval_style.prompt_level_strict_accuracy,higher_is_better,0.5208333333333334,0.5833333333333334,-0.0625,-0.11458333333333326,-0.05208333333333326,-0.0625
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,ifeval_style.prompt_level_strict_accuracy,higher_is_better,0.5208333333333334,0.5729166666666666,-0.05208333333333326,-0.11458333333333326,-0.0625,-0.05208333333333326
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,ifeval_style.prompt_level_strict_accuracy,higher_is_better,0.5208333333333334,0.5833333333333334,-0.0625,-0.11458333333333326,-0.05208333333333326,-0.0625
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,ifeval_style.instruction_level_accuracy,higher_is_better,0.6981132075471698,0.7295597484276729,-0.03144654088050314,-0.06918238993710701,-0.037735849056603876,-0.03144654088050314
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,ifeval_style.instruction_level_accuracy,higher_is_better,0.6981132075471698,0.7232704402515723,-0.02515723270440251,-0.06918238993710701,-0.044025157232704504,-0.02515723270440251
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,ifeval_style.instruction_level_accuracy,higher_is_better,0.6981132075471698,0.7295597484276729,-0.03144654088050314,-0.06918238993710701,-0.037735849056603876,-0.03144654088050314
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,ifeval_style.instruction_level_accuracy,higher_is_better,0.6981132075471698,0.7232704402515723,-0.02515723270440251,-0.06918238993710701,-0.044025157232704504,-0.02515723270440251
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r028,final,noised_gold_clean,single_source_clean,BFCL_core_accuracy,higher_is_better,0.6866666666666666,0.6933333333333334,-0.00666666666666671,0.020000000000000018,0.026666666666666727,-0.00666666666666671
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r029,final,behavior_clean,single_source_clean,BFCL_core_accuracy,higher_is_better,0.6866666666666666,0.66,0.026666666666666616,0.020000000000000018,-0.006666666666666599,0.026666666666666616
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d001,final,noised_gold_unfiltered,single_source_unfiltered_control,BFCL_core_accuracy,higher_is_better,0.6866666666666666,0.6966666666666667,-0.010000000000000009,0.020000000000000018,0.030000000000000027,-0.010000000000000009
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d002,final,behavior_unfiltered,single_source_unfiltered_control,BFCL_core_accuracy,higher_is_better,0.6866666666666666,0.6633333333333333,0.023333333333333317,0.020000000000000018,-0.0033333333333332993,0.023333333333333317
